Unnamed: 0,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,TeamId,Playoffs
2018-10-16,1,21800001,1610612755,PHI,Philadelphia,0-1,21,21,24,21,0,0,0,0,0,0,0,0,0,0,87,0.391,0.609,0.192,18,47,16,1610612755.0,1
2018-10-18,1,21800014,1610612755,PHI,Philadelphia,1-1,38,27,37,25,0,0,0,0,0,0,0,0,0,0,127,0.473,0.9,0.33299999999999996,30,55,13,1610612755.0,1
2018-10-20,4,21800029,1610612755,PHI,Philadelphia,2-1,30,33,26,27,0,0,0,0,0,0,0,0,0,0,116,0.479,0.9,0.515,33,46,10,1610612755.0,1
2018-10-23,1,21800049,1610612755,PHI,Philadelphia,2-2,28,36,30,26,12,0,0,0,0,0,0,0,0,0,132,0.5,0.7140000000000001,0.326,32,48,11,1610612755.0,1
2018-10-24,8,21800059,1610612755,PHI,Philadelphia,2-3,34,30,17,27,0,0,0,0,0,0,0,0,0,0,108,0.413,0.7,0.324,29,50,16,1610612755.0,1
2018-10-27,5,21800078,1610612755,PHI,Philadelphia,3-3,32,31,20,22,0,0,0,0,0,0,0,0,0,0,105,0.385,0.833,0.35700000000000004,18,56,11,1610612755.0,1
2018-10-29,2,21800088,1610612755,PHI,Philadelphia,4-3,20,27,31,35,0,0,0,0,0,0,0,0,0,0,113,0.414,0.9440000000000001,0.298,33,64,19,1610612755.0,1
2018-10-30,5,21800100,1610612755,PHI,Philadelphia,4-4,26,27,33,26,0,0,0,0,0,0,0,0,0,0,112,0.418,0.733,0.35,25,47,23,1610612755.0,1
2018-11-01,3,21800113,1610612755,PHI,Philadelphia,5-4,34,38,18,32,0,0,0,0,0,0,0,0,0,0,122,0.473,0.75,0.48100000000000004,29,43,14,1610612755.0,1
2018-11-03,1,21800125,1610612755,PHI,Philadelphia,6-4,30,39,16,24,0,0,0,0,0,0,0,0,0,0,109,0.406,0.863,0.31,21,45,17,1610612755.0,1
2018-11-04,2,21800134,1610612755,PHI,Philadelphia,6-5,21,26,28,22,0,0,0,0,0,0,0,0,0,0,97,0.47700000000000004,0.7559999999999999,0.2,16,46,27,1610612755.0,1
2018-11-07,5,21800157,1610612755,PHI,Philadelphia,7-5,29,21,28,22,0,0,0,0,0,0,0,0,0,0,100,0.456,0.818,0.313,24,43,16,1610612755.0,1
2018-11-09,2,21800168,1610612755,PHI,Philadelphia,8-5,33,32,31,23,14,0,0,0,0,0,0,0,0,0,133,0.479,0.7559999999999999,0.324,33,59,16,1610612755.0,1
