Unnamed: 0,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,TeamId,Playoffs
2013-01-14,6,21200561,1610612748,MIA,Miami,24-12,25,19,21,32,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,97,0.542,0.625,0.391,25,23,14,1610612748.0,1
2013-01-16,10,21200579,1610612748,MIA,Miami,25-12,28,24,28,12,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,92,0.4,0.667,0.276,24,51,11,1610612748.0,1
2013-01-17,4,21200583,1610612748,MIA,Miami,26-12,26,18,29,26,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,99,0.48200000000000004,0.7390000000000001,0.154,22,35,6,1610612748.0,1
2013-01-23,2,21200619,1610612748,MIA,Miami,27-12,22,28,38,21,14,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,123,0.5489999999999999,0.632,0.409,26,53,13,1610612748.0,1
2013-01-25,3,21200634,1610612748,MIA,Miami,28-12,30,30,24,26,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,110,0.5579999999999999,0.826,0.294,24,36,12,1610612748.0,1
2013-01-27,1,21200652,1610612748,MIA,Miami,28-13,26,19,23,19,6,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,98,0.406,0.75,0.217,19,53,20,1610612748.0,1
2013-01-30,6,21200675,1610612748,MIA,Miami,29-13,30,19,36,20,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,105,0.518,0.5710000000000001,0.579,21,38,13,1610612748.0,1
2013-02-01,2,21200685,1610612748,MIA,Miami,29-14,23,22,20,24,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,89,0.47100000000000003,0.75,0.35700000000000004,21,25,11,1610612748.0,1
2013-02-03,3,21200707,1610612748,MIA,Miami,30-14,24,20,27,29,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.5329999999999999,0.7390000000000001,0.25,19,34,12,1610612748.0,1
2013-02-04,5,21200711,1610612748,MIA,Miami,31-14,22,25,19,33,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,99,0.506,0.667,0.083,23,39,11,1610612748.0,1
2013-02-06,7,21200726,1610612748,MIA,Miami,32-14,32,31,26,25,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,114,0.488,0.857,0.435,23,38,10,1610612748.0,1
2013-02-08,7,21200741,1610612748,MIA,Miami,33-14,30,32,31,18,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,111,0.529,0.75,0.556,22,36,13,1610612748.0,1
2013-02-10,2,21200753,1610612748,MIA,Miami,34-14,25,28,25,29,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,107,0.55,0.929,0.375,19,38,11,1610612748.0,1
2013-02-12,2,21200770,1610612748,MIA,Miami,35-14,29,29,28,31,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,117,0.581,0.852,0.42100000000000004,22,32,9,1610612748.0,1
2013-02-14,1,21200787,1610612748,MIA,Miami,36-14,32,31,25,22,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,110,0.466,0.773,0.379,23,46,14,1610612748.0,1
2013-02-20,5,21200802,1610612748,MIA,Miami,37-14,24,21,18,40,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,103,0.474,0.76,0.435,23,33,11,1610612748.0,1
2013-02-21,1,21200809,1610612748,MIA,Miami,38-14,22,23,20,21,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,86,0.507,0.643,0.231,20,36,17,1610612748.0,1
2013-02-23,4,21200826,1610612748,MIA,Miami,39-14,27,29,31,27,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,114,0.584,0.833,0.429,27,37,6,1610612748.0,1
2013-02-24,3,21200833,1610612748,MIA,Miami,40-14,33,31,17,28,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,109,0.52,0.792,0.632,23,34,11,1610612748.0,1
2013-02-26,3,21200845,1610612748,MIA,Miami,41-14,27,24,33,28,12,17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,141,0.5539999999999999,0.792,0.435,35,41,12,1610612748.0,1
2013-03-01,6,21200868,1610612748,MIA,Miami,42-14,16,26,25,31,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,98,0.466,0.741,0.526,26,35,7,1610612748.0,1
2013-03-03,1,21200880,1610612748,MIA,Miami,43-14,23,22,28,26,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,99,0.46399999999999997,0.684,0.4,20,41,14,1610612748.0,1
