GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,TeamId,Playoffs
2016-01-23,6,21500660,1610612737,ATL,Atlanta,26-19,23,16,25,31,0,0,0,0,0,0,0,0,0,0,95,0.405,0.833,0.353,23,43,16,1610612737.0,1
2016-01-25,6,21500672,1610612737,ATL,Atlanta,27-19,31,35,24,29,0,0,0,0,0,0,0,0,0,0,119,0.5,0.9229999999999999,0.33299999999999996,28,42,14,1610612737.0,1
2016-01-27,4,21500687,1610612737,ATL,Atlanta,27-20,23,22,21,17,0,0,0,0,0,0,0,0,0,0,83,0.418,0.5,0.435,21,49,22,1610612737.0,1
2016-01-28,1,21500692,1610612737,ATL,Atlanta,27-21,24,20,31,17,0,0,0,0,0,0,0,0,0,0,92,0.39799999999999996,0.905,0.25,20,32,14,1610612737.0,1
2016-01-31,2,21500715,1610612737,ATL,Atlanta,27-22,17,17,28,25,0,0,0,0,0,0,0,0,0,0,87,0.386,0.875,0.22699999999999998,13,31,17,1610612737.0,1
2016-02-01,3,21500723,1610612737,ATL,Atlanta,28-22,27,26,33,26,0,0,0,0,0,0,0,0,0,0,112,0.525,0.737,0.4,29,50,15,1610612737.0,1
2016-02-03,2,21500736,1610612737,ATL,Atlanta,29-22,27,31,30,36,0,0,0,0,0,0,0,0,0,0,124,0.522,0.72,0.5,28,52,18,1610612737.0,1
2016-02-05,1,21500750,1610612737,ATL,Atlanta,30-22,26,24,23,29,0,0,0,0,0,0,0,0,0,0,102,0.513,0.7,0.37,29,32,15,1610612737.0,1
2016-02-07,2,21500771,1610612737,ATL,Atlanta,30-23,19,22,19,34,0,0,0,0,0,0,0,0,0,0,94,0.385,0.733,0.46399999999999997,22,50,16,1610612737.0,1
2016-02-08,7,21500780,1610612737,ATL,Atlanta,30-24,30,24,29,18,9,0,0,0,0,0,0,0,0,0,110,0.467,0.6,0.414,31,47,14,1610612737.0,1
