GAME_SEQUENCE,GAME_ID,TEAM_ID,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,Playoffs
1,21400001,1610612753,25,16,23,20,0,0,0,0,84,0.381,0.762,0.364,17,56,18,0
1,21400016,1610612753,23,28,15,32,0,0,0,0,98,0.514,0.75,0.4,20,33,18,0
3,21400029,1610612753,26,26,26,17,0,0,0,0,95,0.469,0.5,0.35,25,40,14,0
5,21400053,1610612753,28,24,17,21,0,0,0,0,90,0.43200000000000005,0.5710000000000001,0.429,21,48,11,0
2,21400058,1610612753,26,26,23,16,0,0,0,0,91,0.44299999999999995,0.833,0.15,14,51,24,0
2,21400072,1610612753,26,21,27,20,18,0,0,0,112,0.505,0.789,0.5,19,52,21,0
1,21400090,1610612753,23,29,25,19,0,0,0,0,96,0.52,0.625,0.5329999999999999,25,31,17,0
1,21400103,1610612753,32,28,23,17,0,0,0,0,100,0.48100000000000004,0.625,0.48,26,39,16,0
5,21400113,1610612753,31,25,18,23,0,0,0,0,97,0.47100000000000003,0.7809999999999999,0.5,20,37,10,0
2,21400123,1610612753,25,27,28,21,0,0,0,0,101,0.43799999999999994,0.778,0.41700000000000004,22,45,15,0
1,21400132,1610612753,17,21,24,31,0,0,0,0,93,0.474,0.667,0.41200000000000003,14,40,15,0
5,21400150,1610612753,28,21,29,29,0,0,0,0,107,0.519,0.8,0.5,33,39,11,0
3,21400161,1610612753,23,25,20,22,0,0,0,0,90,0.395,0.778,0.33299999999999996,21,48,13,0
1,21400172,1610612753,26,14,24,41,0,0,0,0,105,0.47600000000000003,0.7190000000000001,0.25,12,43,8,0
2,21400185,1610612753,18,28,21,25,0,0,0,0,92,0.449,0.7040000000000001,0.188,18,44,14,0
2,21400199,1610612753,16,22,20,16,0,0,0,0,74,0.363,0.733,0.294,14,40,17,0
3,21400212,1610612753,27,25,13,31,0,0,0,0,96,0.414,0.75,0.3,21,46,14,0
8,21400230,1610612753,20,25,14,24,0,0,0,0,83,0.44299999999999995,0.875,0.389,16,32,18,0
6,21400246,1610612753,27,25,17,24,0,0,0,0,93,0.461,0.72,0.33299999999999996,14,47,22,0
10,21400262,1610612753,25,21,29,22,0,0,0,0,97,0.44799999999999995,0.929,0.353,19,40,11,0
10,21400272,1610612753,23,21,18,24,0,0,0,0,86,0.418,0.52,0.35,21,34,16,0
11,21400286,1610612753,24,29,18,27,0,0,0,0,98,0.5,0.85,0.41200000000000003,15,38,8,0
5,21400292,1610612753,27,25,25,28,0,0,0,0,105,0.506,0.857,0.34600000000000003,26,40,10,0
3,21400318,1610612753,21,23,31,14,0,0,0,0,89,0.452,0.667,0.467,13,39,8,0
3,21400330,1610612753,26,14,24,17,0,0,0,0,81,0.39,0.75,0.34600000000000003,14,46,18,0
4,21400343,1610612753,18,29,25,28,0,0,0,0,100,0.5,0.762,0.47600000000000003,26,36,15,0
5,21400359,1610612753,25,27,13,17,0,0,0,0,82,0.486,0.75,0.267,13,36,19,0
3,21400371,1610612753,28,25,20,19,0,0,0,0,92,0.435,0.867,0.263,17,36,12,0
1,21400383,1610612753,17,26,23,28,0,0,0,0,94,0.446,0.667,0.545,28,34,12,0
6,21400405,1610612753,20,22,18,28,0,0,0,0,88,0.41700000000000004,0.55,0.304,21,43,14,0
3,21400418,1610612753,26,27,32,15,0,0,0,0,100,0.47,0.652,0.389,23,45,14,0
2,21400433,1610612753,32,21,22,14,0,0,0,0,89,0.493,0.667,0.429,25,36,16,0
2,21400444,1610612753,22,30,29,21,0,0,0,0,102,0.45799999999999996,0.75,0.4,22,40,6,0
4,21400462,1610612753,26,24,27,25,0,0,0,0,102,0.532,0.6920000000000001,0.44,21,34,14,0
1,21400465,1610612753,21,26,23,16,0,0,0,0,86,0.447,0.6,0.2,19,42,15,0
2,21400485,1610612753,25,15,21,37,0,0,0,0,98,0.42,0.65,0.5,22,37,11,0
1,21400495,1610612753,20,9,25,36,0,0,0,0,90,0.379,0.9520000000000001,0.21100000000000002,18,44,7,0
9,21400530,1610612753,18,21,19,32,0,0,0,0,90,0.39799999999999996,0.75,0.364,21,42,14,0
11,21400548,1610612753,20,25,22,17,0,0,0,0,84,0.395,0.7829999999999999,0.429,19,36,15,0
9,21400557,1610612753,13,28,29,22,0,0,0,0,92,0.402,0.75,0.14300000000000002,22,49,16,0
4,21400566,1610612753,29,34,30,28,0,0,0,0,121,0.593,0.621,0.389,28,34,10,0
2,21400575,1610612753,29,26,29,36,0,0,0,0,120,0.489,0.885,0.34600000000000003,22,39,15,0
2,21400588,1610612753,28,21,25,22,0,0,0,0,96,0.456,0.75,0.375,22,39,15,0
2,21400609,1610612753,20,25,31,23,0,0,0,0,99,0.39799999999999996,0.778,0.348,18,33,18,0
5,21400629,1610612753,24,24,36,34,0,0,0,0,118,0.495,1.0,0.4,29,42,14,0
5,21400645,1610612753,26,24,28,28,0,0,0,0,106,0.506,0.579,0.259,27,39,14,0
6,21400662,1610612753,27,22,33,17,0,0,0,0,99,0.48700000000000004,0.7390000000000001,0.353,22,33,12,0
1,21400670,1610612753,29,19,25,21,0,0,0,0,94,0.474,0.64,0.33299999999999996,14,44,17,0
1,21400692,1610612753,18,26,27,29,0,0,0,0,100,0.451,0.7,0.278,14,49,23,0
2,21400706,1610612753,17,24,29,23,0,0,0,0,93,0.423,0.792,0.33299999999999996,21,42,15,0
6,21400723,1610612753,22,28,17,30,0,0,0,0,97,0.42200000000000004,0.833,0.261,23,44,13,0
9,21400739,1610612753,25,19,30,29,0,0,0,0,103,0.5,0.643,0.47600000000000003,27,39,12,0
3,21400748,1610612753,26,12,31,22,12,0,0,0,103,0.518,0.857,0.33299999999999996,26,48,18,0
6,21400770,1610612753,16,29,29,23,0,0,0,0,97,0.47,0.769,0.36,21,45,16,0
3,21400776,1610612753,16,19,19,26,0,0,0,0,80,0.39799999999999996,0.667,0.182,18,33,11,0
1,21400788,1610612753,27,17,20,25,0,0,0,0,89,0.46299999999999997,0.821,0.364,13,44,16,0
1,21400803,1610612753,19,24,30,22,0,0,0,0,95,0.5,0.5,0.222,22,42,9,0
5,21400825,1610612753,29,26,21,27,0,0,0,0,103,0.47600000000000003,0.731,0.261,19,38,15,0
1,21400842,1610612753,17,23,21,24,5,0,0,0,90,0.423,0.581,0.273,17,50,18,0
3,21400858,1610612753,16,29,22,21,0,0,0,0,88,0.45,0.5379999999999999,0.34600000000000003,22,40,17,0
6,21400882,1610612753,22,20,18,23,0,0,0,0,83,0.365,0.75,0.4,16,44,11,0
2,21400897,1610612753,25,27,17,31,0,0,0,0,100,0.47100000000000003,0.867,0.25,21,42,20,0
3,21400913,1610612753,35,33,24,27,0,0,0,0,119,0.565,0.833,0.542,29,37,10,0
5,21400935,1610612753,17,26,26,34,0,0,0,0,103,0.43700000000000006,0.667,0.318,20,56,15,0
1,21400946,1610612753,28,19,23,16,0,0,0,0,86,0.37,0.7,0.235,15,45,10,0
5,21400956,1610612753,31,26,15,19,0,0,0,0,91,0.4,1.0,0.556,21,33,14,0
3,21400969,1610612753,23,27,22,16,0,0,0,0,88,0.425,0.5,0.3,20,50,19,0
4,21400985,1610612753,28,27,31,22,0,0,0,0,108,0.47700000000000004,0.556,0.474,24,44,13,0
3,21401002,1610612753,24,26,28,16,0,0,0,0,94,0.42700000000000005,0.706,0.273,19,40,10,0
8,21401012,1610612753,23,25,22,32,0,0,0,0,102,0.46,0.929,0.321,28,41,18,0
1,21401020,1610612753,25,33,17,36,0,0,0,0,111,0.457,0.833,0.41700000000000004,22,50,7,0
8,21401044,1610612753,25,26,21,28,0,0,0,0,100,0.48200000000000004,0.8240000000000001,0.235,26,40,18,0
3,21401062,1610612753,31,21,19,12,0,0,0,0,83,0.41,0.8,0.188,19,42,17,0
1,21401074,1610612753,27,26,23,21,0,0,0,0,97,0.524,1.0,0.2,31,40,16,0
2,21401113,1610612753,19,21,20,31,0,0,0,0,91,0.419,0.889,0.294,24,50,12,0
7,21401133,1610612753,29,23,20,25,0,0,0,0,97,0.435,0.647,0.28600000000000003,23,53,19,0
7,21401143,1610612753,22,29,21,25,0,0,0,0,97,0.465,0.6920000000000001,0.381,23,45,12,0
2,21401161,1610612753,21,31,27,26,0,0,0,0,105,0.46299999999999997,0.875,0.348,21,44,15,0
1,21401175,1610612753,19,32,25,23,0,0,0,0,99,0.461,1.0,0.35,21,46,16,0
1,21401187,1610612753,24,7,19,29,0,0,0,0,79,0.35700000000000004,0.722,0.273,15,49,13,0
6,21401207,1610612753,22,17,27,27,0,0,0,0,93,0.41200000000000003,0.607,0.28600000000000003,14,41,8,0
8,21401224,1610612753,28,24,23,13,0,0,0,0,88,0.48100000000000004,0.385,0.35,18,42,17,0
1,21400001,1610612740,24,24,30,23,0,0,0,0,101,0.406,0.484,0.235,20,62,9,1
1,21400027,1610612740,26,26,37,15,0,0,0,0,104,0.42700000000000005,0.75,0.368,24,47,13,1
3,21400045,1610612740,13,20,23,25,0,0,0,0,81,0.337,0.655,0.16699999999999998,14,49,12,1
6,21400054,1610612740,26,21,26,27,0,0,0,0,100,0.469,1.0,0.278,26,47,12,1
8,21400089,1610612740,30,25,26,19,0,0,0,0,100,0.47100000000000003,0.857,0.381,22,30,11,1
