GAME_SEQUENCE,GAME_ID,TEAM_ID,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,Playoffs
1,21300001,1610612753,18,26,20,23,0,0,0,0,87,0.387,0.6,0.474,17,39,17,0
7,21300010,1610612753,27,25,28,23,12,0,0,0,115,0.47,0.611,0.37,21,54,18,0
2,21300021,1610612753,22,31,32,25,0,0,0,0,110,0.557,0.778,0.5,22,44,18,0
3,21300043,1610612753,22,19,33,33,0,0,0,0,107,0.47200000000000003,0.727,0.41200000000000003,19,54,15,0
3,21300062,1610612753,29,28,15,26,0,0,0,0,98,0.488,0.765,0.313,21,51,15,0
3,21300075,1610612753,24,25,19,21,0,0,0,0,89,0.39799999999999996,0.655,0.2,19,56,20,0
2,21300086,1610612753,22,23,26,23,0,0,0,0,94,0.46299999999999997,0.556,0.47100000000000003,22,36,17,0
4,21300101,1610612753,25,25,24,31,0,0,0,0,105,0.45899999999999996,0.87,0.389,27,37,18,0
1,21300111,1610612753,23,22,27,22,0,0,0,0,94,0.42700000000000005,0.7140000000000001,0.34600000000000003,20,45,15,0
2,21300137,1610612753,24,22,34,20,0,0,0,0,100,0.529,0.7859999999999999,0.267,22,40,17,0
4,21300164,1610612753,20,29,22,21,0,0,0,0,92,0.408,0.905,0.517,19,25,24,0
5,21300191,1610612753,20,35,22,22,0,0,0,0,99,0.466,0.7240000000000001,0.435,19,41,16,0
3,21300199,1610612753,21,23,28,24,0,0,0,0,96,0.46399999999999997,0.857,0.28600000000000003,24,41,12,0
3,21300213,1610612753,26,23,36,24,0,0,0,0,109,0.506,0.85,0.364,29,43,12,0
2,21300216,1610612753,33,22,22,28,0,0,0,0,105,0.524,0.7140000000000001,0.21100000000000002,22,45,17,0
2,21300229,1610612753,24,21,25,21,0,0,0,0,91,0.436,0.9329999999999999,0.474,20,28,15,0
1,21300256,1610612753,22,19,20,19,0,0,0,0,80,0.39,0.895,0.2,14,40,16,0
1,21300261,1610612753,34,23,23,24,14,7,0,0,125,0.5,0.7809999999999999,0.231,28,34,18,0
5,21300284,1610612753,31,23,15,14,0,0,0,0,83,0.429,0.65,0.4,19,31,12,0
3,21300301,1610612753,18,20,23,27,0,0,0,0,88,0.344,0.5710000000000001,0.276,14,43,7,0
4,21300307,1610612753,16,14,30,25,0,0,0,0,85,0.4,0.95,0.273,12,35,12,0
1,21300318,1610612753,16,27,24,25,0,0,0,0,92,0.42200000000000004,1.0,0.368,18,52,14,0
2,21300330,1610612753,28,23,25,24,0,0,0,0,100,0.435,0.938,0.36700000000000005,22,45,12,0
4,21300353,1610612753,22,27,22,27,0,0,0,0,98,0.451,0.654,0.292,19,45,14,0
7,21300362,1610612753,21,22,24,16,0,0,0,0,83,0.39799999999999996,0.75,0.41700000000000004,21,54,11,0
2,21300370,1610612753,20,19,23,20,0,0,0,0,82,0.326,0.95,0.467,12,48,10,0
3,21300395,1610612753,31,27,19,23,0,0,0,0,100,0.47600000000000003,0.609,0.4,17,42,17,0
3,21300409,1610612753,27,14,35,22,0,0,0,0,98,0.41600000000000004,0.727,0.32,24,44,9,0
2,21300428,1610612753,26,29,30,24,0,0,0,0,109,0.529,0.652,0.28600000000000003,26,49,13,0
2,21300449,1610612753,26,30,23,30,0,0,0,0,109,0.5539999999999999,0.792,0.381,30,40,17,0
3,21300462,1610612753,15,20,24,22,0,0,0,0,81,0.382,0.615,0.263,19,37,9,0
1,21300473,1610612753,23,16,23,17,2,0,0,0,81,0.381,0.556,0.28,21,49,14,0
2,21300490,1610612753,24,22,24,24,0,0,0,0,94,0.413,0.833,0.308,16,41,15,0
3,21300507,1610612753,18,16,21,26,0,0,0,0,81,0.35700000000000004,0.667,0.368,15,50,17,0
8,21300527,1610612753,24,27,24,19,0,0,0,0,94,0.39799999999999996,0.778,0.35,21,42,9,0
10,21300540,1610612753,24,16,24,19,0,0,0,0,83,0.33299999999999996,0.7929999999999999,0.29600000000000004,15,37,13,0
8,21300550,1610612753,25,22,19,28,0,0,0,0,94,0.44,0.696,0.2,23,40,11,0
