GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,TeamId,Playoffs
2017-12-18,2,21700442,1610612738,BOS,Boston,26-7,38,24,23,27,0,0,0,0,0,0,0,0,0,0,112,0.557,0.5710000000000001,0.615,26,38,19,1610612738.0,1
2017-12-20,3,21700456,1610612738,BOS,Boston,26-8,24,20,15,30,0,0,0,0,0,0,0,0,0,0,89,0.375,0.762,0.406,18,44,10,1610612738.0,1
2017-12-21,3,21700468,1610612738,BOS,Boston,26-9,15,25,28,25,0,0,0,0,0,0,0,0,0,0,93,0.384,0.737,0.342,17,35,10,1610612738.0,1
2017-12-23,6,21700485,1610612738,BOS,Boston,27-9,33,27,38,19,0,0,0,0,0,0,0,0,0,0,117,0.478,0.81,0.375,29,46,5,1610612738.0,1
2017-12-25,3,21700495,1610612738,BOS,Boston,27-10,24,26,26,27,0,0,0,0,0,0,0,0,0,0,103,0.48100000000000004,0.647,0.483,20,45,16,1610612738.0,1
2017-12-27,1,21700506,1610612738,BOS,Boston,28-10,28,32,16,26,0,0,0,0,0,0,0,0,0,0,102,0.474,1.0,0.441,20,43,15,1610612738.0,1
2017-12-28,2,21700517,1610612738,BOS,Boston,29-10,12,26,31,30,0,0,0,0,0,0,0,0,0,0,99,0.451,0.708,0.276,18,44,16,1610612738.0,1
2017-12-31,3,21700539,1610612738,BOS,Boston,30-10,38,23,21,26,0,0,0,0,0,0,0,0,0,0,108,0.494,0.64,0.424,21,50,17,1610612738.0,1
2018-01-03,6,21700559,1610612738,BOS,Boston,31-10,32,23,26,21,0,0,0,0,0,0,0,0,0,0,102,0.446,0.727,0.33299999999999996,27,52,15,1610612738.0,1
2018-01-05,2,21700570,1610612738,BOS,Boston,32-10,19,22,25,25,0,0,0,0,0,0,0,0,0,0,91,0.40399999999999997,0.6920000000000001,0.16699999999999998,24,56,10,1610612738.0,1
2018-01-06,2,21700579,1610612738,BOS,Boston,33-10,16,23,25,23,0,0,0,0,0,0,0,0,0,0,87,0.37799999999999995,0.5329999999999999,0.278,12,44,4,1610612738.0,1
