Unnamed: 0,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY_NAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,TeamId,Playoffs
2014-03-09,1,21300934,1610612741,CHI,Chicago,35-28,21,16,22,27,9,0,0,0,0,0,0,0,0,0,95,0.42200000000000004,0.706,0.368,25,47,12,1610612741.0,1
2014-03-11,3,21300952,1610612741,CHI,Chicago,35-29,14,19,33,30,0,0,0,0,0,0,0,0,0,0,96,0.42700000000000005,0.857,0.444,22,39,14,1610612741.0,1
2014-03-13,1,21300968,1610612741,CHI,Chicago,36-29,25,25,35,26,0,0,0,0,0,0,0,0,0,0,111,0.5,0.846,0.583,35,39,7,1610612741.0,1
2014-03-15,6,21300986,1610612741,CHI,Chicago,37-29,23,25,16,30,0,0,0,0,0,0,0,0,0,0,94,0.397,0.7879999999999999,0.3,21,40,11,1610612741.0,1
2014-03-17,4,21300999,1610612741,CHI,Chicago,37-30,21,24,22,18,0,0,0,0,0,0,0,0,0,0,85,0.345,0.71,0.22699999999999998,21,46,5,1610612741.0,1
2014-03-19,1,21301008,1610612741,CHI,Chicago,38-30,28,24,23,27,0,0,0,0,0,0,0,0,0,0,102,0.434,0.815,0.5329999999999999,22,52,15,1610612741.0,1
2014-03-21,1,21301022,1610612741,CHI,Chicago,38-31,23,20,19,17,0,0,0,0,0,0,0,0,0,0,79,0.364,0.75,0.455,17,36,13,1610612741.0,1
2014-03-22,3,21301034,1610612741,CHI,Chicago,39-31,20,21,24,26,0,0,0,0,0,0,0,0,0,0,91,0.44299999999999995,0.774,0.35700000000000004,23,44,15,1610612741.0,1
2014-03-24,4,21301050,1610612741,CHI,Chicago,40-31,15,18,31,25,0,0,0,0,0,0,0,0,0,0,89,0.41700000000000004,0.938,0.267,22,46,10,1610612741.0,1
2014-03-28,6,21301080,1610612741,CHI,Chicago,40-32,16,20,22,16,0,0,0,0,0,0,0,0,0,0,74,0.39299999999999996,0.7140000000000001,0.17600000000000002,23,46,12,1610612741.0,1
2014-03-30,5,21301097,1610612741,CHI,Chicago,41-32,25,26,27,29,0,0,0,0,0,0,0,0,0,0,107,0.529,0.8059999999999999,0.5,24,31,15,1610612741.0,1
2014-03-31,6,21301106,1610612741,CHI,Chicago,42-32,25,23,23,23,0,0,0,0,0,0,0,0,0,0,94,0.475,0.938,0.188,28,40,13,1610612741.0,1
2014-04-02,7,21301120,1610612741,CHI,Chicago,43-32,31,26,21,27,0,0,0,0,0,0,0,0,0,0,105,0.513,0.867,0.48,27,36,13,1610612741.0,1
2014-04-04,9,21301137,1610612741,CHI,Chicago,44-32,27,24,31,20,0,0,0,0,0,0,0,0,0,0,102,0.369,0.7859999999999999,0.318,24,44,11,1610612741.0,1
2014-04-05,2,21301144,1610612741,CHI,Chicago,45-32,28,24,24,20,0,0,0,0,0,0,0,0,0,0,96,0.44299999999999995,0.81,0.391,24,45,10,1610612741.0,1
2014-04-09,8,21301169,1610612741,CHI,Chicago,46-32,26,22,27,27,0,0,0,0,0,0,0,0,0,0,102,0.5,0.75,0.524,29,37,13,1610612741.0,1
